Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning],What is your expectation from attending this class?,What is your best favorite category to purchase online?,What is your second favorite category to purchase online?,What is you third favorite category to purchase online?
7/3/2020 8:21:22,Ms.,20,Singapore,Have studied,"No Background, Have studied",Able to understand the basics,Food & Beverages,Hobbies & Books,Women's Apparel
7/3/2020 8:28:57,Ms.,23,Singapore,Have used in a project,No Background,knowing how to use python for data science,Jewellery & Accessories,Women's Apparel,Beauty & Personal Care
7/3/2020 8:34:32,Ms.,36,Malaysia,No Background,No Background,Exposure,Food & Beverages,Beauty & Personal Care,Women's Apparel
7/3/2020 8:35:44,Mr.,23,Indonesia,Have used in a project,Have used in a project,get better understanding python in data science project,Video Games,Hobbies & Books,Mobile & Gadgets
7/3/2020 8:37:08,Ms.,20,Singapore,Have studied,No Background,Learning Basics,Food & Beverages,Women's Apparel,Beauty & Personal Care
7/3/2020 8:39:08,Ms.,27,Malaysia,Have studied,No Background,To learn the basics of data science and how to use python in performing data science problems,Hobbies & Books,Women's Apparel,Jewellery & Accessories
7/3/2020 8:40:02,Ms.,25,Taiwai,Have used in a project,Have studied,It’s useful,Hobbies & Books,Beauty & Personal Care,Women's Apparel
7/3/2020 8:58:57,Ms.,23,Taiwan,Have studied,Have studied,"I wish I can be an advanced python programmer, and I can develop something interesting.",Video Games,Computers & Peripherals,Food & Beverages
7/3/2020 9:04:02,Ms.,20,Singapore,No Background,No Background,learn as much as i can,Hobbies & Books,Mobile & Gadgets,Food & Beverages
7/3/2020 9:10:00,Ms.,41,Malaysia,No Background,No Background,Learning python,Hobbies & Books,Women's Apparel,Beauty & Personal Care
7/3/2020 9:26:45,Ms.,19,Singapore,Have studied,No Background,learn the basic of both python and machine learning. Maybe get an insider of the company to have better understanding of the background of the industry,Mobile & Gadgets,Video Games,Jewellery & Accessories
7/3/2020 9:30:37,Mr.,19,Indonesia,Have studied,No Background,I can learn more about python,Food & Beverages,Mobile & Gadgets,Computers & Peripherals
7/3/2020 9:32:48,Mr.,40,Indonesia,Have used in a project,Have used in a project,I like it,Food & Beverages,Hobbies & Books,Computers & Peripherals
7/3/2020 9:34:36,Mr.,21,Philippines,Have used in a project,Have studied,learn,Computers & Peripherals,Hobbies & Books,Mobile & Gadgets
7/3/2020 9:48:27,Ms.,20,Indonesia,Have studied,Have studied,I get knowledge about data scientist with python,Hobbies & Books,Computers & Peripherals,Food & Beverages
